Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
瑙魯	NRU	基尼 (GINI) 系数	SI.POV.GINI																																																												
新西兰	NZL	基尼 (GINI) 系数	SI.POV.GINI																																																												
经合组织成员	OED	基尼 (GINI) 系数	SI.POV.GINI																																																												
阿曼	OMN	基尼 (GINI) 系数	SI.POV.GINI																																																												
其他小国	OSS	基尼 (GINI) 系数	SI.POV.GINI																																																												
巴基斯坦	PAK	基尼 (GINI) 系数	SI.POV.GINI																												33.3			33.2						28.7		33.1			30.4			32.5	32.7		31.6			29.8	30.9		30.7		33.5				
巴拿马	PAN	基尼 (GINI) 系数	SI.POV.GINI																				48.7										58.9		58.2				57.8		58.2	57.5	56.5	56.8	56.9	56.2	55.8	54.8	53.8	54.6	52.7	52.7	51.8	51.6	51.3	51.7	51.5	50.5	50.8	50.4	49.9		
秘鲁	PER	基尼 (GINI) 系数	SI.POV.GINI																																						53.7	56.1	56.3	49.1	51.3	53.6	53.1	49.9	50.4	50.3	50	47.5	47	45.5	44.7	44.4	43.9	43.2	43.4	43.6	43.3		
菲律宾	PHL	基尼 (GINI) 系数	SI.POV.GINI																																									47.7			46.6			47.2			46.3			46.5			44.4				
帕劳	PLW	基尼 (GINI) 系数	SI.POV.GINI																																																												
巴布亚新几内亚	PNG	基尼 (GINI) 系数	SI.POV.GINI																																					55.4													41.9										
波兰	POL	基尼 (GINI) 系数	SI.POV.GINI																										25.2		25.5		26.9															38	35.8	34.7	34	33.5	33.4	33.2	33.2	33	33.1	32.8	31.8				
預人口紅利	PRE	基尼 (GINI) 系数	SI.POV.GINI																																																												
波多黎各	PRI	基尼 (GINI) 系数	SI.POV.GINI																																																												
朝鲜民主主义人民共和国	PRK	基尼 (GINI) 系数	SI.POV.GINI																																																												
葡萄牙	PRT	基尼 (GINI) 系数	SI.POV.GINI																																												38.7	38.9	38.5	38.1	36.7	36.6	34.9	35.8	36.3	36	36.2	35.6	35.5				
巴拉圭	PRY	基尼 (GINI) 系数	SI.POV.GINI																															40.8					58.2		54.9		54.6		54.6	57.3	54.9	52.3	51.4	53	53	50.7	49.1	51	52.3	47.6	47.9	50.7	47.6	47.9	48.8		
约旦河西岸和加沙	PSE	基尼 (GINI) 系数	SI.POV.GINI																																													34	34.7	34	35.6		34.5	35.3	34.4					33.7			
太平洋岛国	PSS	基尼 (GINI) 系数	SI.POV.GINI																																																												
人口紅利之後	PST	基尼 (GINI) 系数	SI.POV.GINI																																																												
法属波利尼西亚	PYF	基尼 (GINI) 系数	SI.POV.GINI																																																												
卡塔尔	QAT	基尼 (GINI) 系数	SI.POV.GINI																																																												
罗马尼亚	ROU	基尼 (GINI) 系数	SI.POV.GINI																														23.3			25.5		28.2												39.6	37.5	36.4	35.6	35.5	35.9	36.5	36.9	36	35.9				
