Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
爱沙尼亚	EST	国际旅游，入境人数	ST.INT.ARVL																																				530000	665000	730000	825000	950000	1220000	1320000	1362000	1462000	1750000	1917000	1940000	1900000	2222000	2180000	2511000	2823000	2957000	3111000	3160000	2961000	3131000	3245000		
埃塞俄比亚	ETH	国际旅游，入境人数	ST.INT.ARVL																																				103000	109000	139000	112000	115000	136000	148000	156000	180000	184000	227000	330000	358000	383000	427000	468000	523000	597000	681000	770000	864000	871000	933000		
欧洲联盟	EUU	国际旅游，入境人数	ST.INT.ARVL																																				258799859.7	267764000	285078000	297044000	306801000	324840000	320374000	325998000	327323000	337254000	354140000	374184000	385690000	381160000	362912000	371843000	391940000	402158000	421266000	442143000	463726000	484642000	522620000		
脆弱和受衝突影響的情況下	FCS	国际旅游，入境人数	ST.INT.ARVL																																				5256318.029	6192532.973	6024807.501	7321255.623	7629525.837	8364242.994	8713330.829	9567376.506	9943342.951	11163144.23	11530600.02	14409089.45	15369338.57	17379091.17	19978827.99	24184482.3	20293916								
芬兰	FIN	国际旅游，入境人数	ST.INT.ARVL																																				1779000	1724000	1832000	1867000	1831000	1971000	1999000	2043000	2047000	2083000	2080000	2317000	2472000	2494000	2220000	2319000	2623000	2778000	2797000	2731000	2622000	2789000	3180000		
斐济	FJI	国际旅游，入境人数	ST.INT.ARVL																																				318000	340000	359000	371000	410000	294000	348000	398000	431000	504000	545000	549000	540000	585000	542000	632000	675000	661000	659000	693000	755000	792000	843000		
法国	FRA	国际旅游，入境人数	ST.INT.ARVL																																				60033000	62406000	66591000	70109000	73147000	77190000	75202000	77012000	75048000	74433000	74988000	77916000	80853000	79218000	76764000	76647000	80499000	81980000	83634000	83701000	84452000	82682000	86861000		
法罗群岛	FRO	国际旅游，入境人数	ST.INT.ARVL																																																												
密克罗尼西亚联邦	FSM	国际旅游，入境人数	ST.INT.ARVL																																					17600	17200	13400	16100	20500	15300	19100	18200	19300	19000	19100	21100	25700	47500	44700	35400	38300	42100	35400	31200	29600			
加蓬	GAB	国际旅游，入境人数	ST.INT.ARVL																																				125000	145000	167000	195000	178000	155000	169000	208000	222000	244000	269000														
英国	GBR	国际旅游，入境人数	ST.INT.ARVL																																				21719000	22936000	23215000	23710000	23341000	23212000	20982000	22307000	22787000	25678000	28039000	30654000	30870000	30142000	28199000	28295000	29306000	29282000	31063000	32613000	34436000	35814000	37651000		
格鲁吉亚	GEO	国际旅游，入境人数	ST.INT.ARVL																																				85000	117000	313000	317000	384000	387000	302000	298000	313000	368000	560000	983000	1052000	1290000	1500000	2032000	2712000	4106000	4954000	5004000	5256000	5393000	6483000		
加纳	GHA	国际旅游，入境人数	ST.INT.ARVL																																				286000	305000	325000	348000	373000	399000	439000	483000	531000	584000	429000	497000	587000	698000	803000	931000	821000	903000	994000	825000	897000				
直布罗陀	GIB	国际旅游，入境人数	ST.INT.ARVL																																																												
几内亚	GIN	国际旅游，入境人数	ST.INT.ARVL																																					12000	17000	23000	27000	33000	38000	43000	44000	45000	45000	46100	30000	24000		12400	131000	96000	56000	33000	35000	60000			
冈比亚	GMB	国际旅游，入境人数	ST.INT.ARVL																																				45000	77000	85000	91000	96000	79000	57000	81000	89000	90000	108000	125000	143000	147000	142000	91000	106000	157000	171000	156000	135000	161000	162000		
几内亚比绍共和国	GNB	国际旅游，入境人数	ST.INT.ARVL																																										7800				5000	11600	15600	18000	16000	22300	36700	35400	35500	36100	43800				
赤道几内亚	GNQ	国际旅游，入境人数	ST.INT.ARVL																																																												
希腊	GRC	国际旅游，入境人数	ST.INT.ARVL																																				10130000	9233000	10070000	10916000	12164000	13096000	14057000	14180000	13969000	13313000	14765000	16039000	16165000	15939000	14915000	15007000	16427000	15518000	17920000	22033000	23599000	24799000	27194000		
格林纳达	GRD	国际旅游，入境人数	ST.INT.ARVL																																				108000	108000	111000	116000	125000	129000	123000	132000	142000	134000	99000	119000	130000	130000	114000	110000	118000	125000	128000	150000	155000	156000	168000		
格陵兰	GRL	国际旅游，入境人数	ST.INT.ARVL																																																												
危地马拉	GTM	国际旅游，入境人数	ST.INT.ARVL																																				563000	520000	576000	636000	823000	826000	835000	884000	880000	1182000	1316000	1502000	1628000	1715000	1393000	1384000	1434000	1491000	1516000	1739000	1865000	1906000	2113000		
